Year,State,Constituency_Name,Winner_Candidate,Winner_Party,Previous_Winner,Previous_Party,Incumbent_Reelected
2004,Karnataka,Dharwad South,Manjunath Kunnur,BJP,,,
2004,Karnataka,Gulbarga,Iqbal Ahmed Saradgi,INC,,,
2009,Karnataka,Gulbarga,Mallikarjun Kharge,INC,Iqbal Ahmed Saradgi,INC,FALSE
2014,Karnataka,Gulbarga,Mallikarjun Kharge,INC,Mallikarjun Kharge,INC,TRUE
2019,Karnataka,Gulbarga,Umesh. G. Jadhav,BJP,Mallikarjun Kharge,INC,FALSE
2024,Karnataka,Gulbarga,Radhakrishna Doddamani,INC,Umesh. G. Jadhav,BJP,FALSE
2004,Karnataka,Hassan,H. D. Deve Gowda,JD(S),,,
2009,Karnataka,Hassan,H. D. Deve Gowda,JD(S),H. D. Deve Gowda,JD(S),TRUE
2014,Karnataka,Hassan,H.D. Devegowda,JD(S),H. D. Deve Gowda,JD(S),FALSE
2019,Karnataka,Hassan,Prajwal Revanna,JD(S),H.D. Devegowda,JD(S),FALSE
2024,Karnataka,Hassan,Shreyas M. Patel,INC,Prajwal Revanna,JD(S),FALSE
2009,Karnataka,Haveri,Shivkumar Chanabasappa Udasi,BJP,,,
2014,Karnataka,Haveri,Udasi Shivakumar Channabasappa,BJP,Shivkumar Chanabasappa Udasi,BJP,FALSE
2019,Karnataka,Haveri,Shivkumar Udasi,BJP,Udasi Shivakumar Channabasappa,BJP,FALSE
2024,Karnataka,Haveri,Basavaraj Bommai,BJP,Shivkumar Udasi,BJP,FALSE
2004,Karnataka,Kanakapura,Tejashwini See Ramesh,INC,,,
2004,Karnataka,Kanara,Anant Kumar Hegde,BJP,,,
2004,Karnataka,Kolar,K. H. Muniyappa,INC,,,
2009,Karnataka,Kolar,K. H. Muniyappa,INC,K. H. Muniyappa,INC,TRUE
2014,Karnataka,Kolar,K.H.Muniyappa,INC,K. H. Muniyappa,INC,FALSE
2019,Karnataka,Kolar,S. Muniswamy,BJP,K.H.Muniyappa,INC,FALSE
2024,Karnataka,Kolar,M. Mallesh Babu,JD(S),S. Muniswamy,BJP,FALSE
2004,Karnataka,Koppal,K. Virupaxappa,INC,,,
2009,Karnataka,Koppal,Shivaramagouda Shivanagouda,BJP,K. Virupaxappa,INC,FALSE
2014,Karnataka,Koppal,Karadi Sanganna,BJP,Shivaramagouda Shivanagouda,BJP,FALSE
2019,Karnataka,Koppal,Karadi Sanganna,BJP,Karadi Sanganna,BJP,TRUE
2024,Karnataka,Koppal,K. Rajashekhar Basavaraj Hitnal,INC,Karadi Sanganna,BJP,FALSE
2004,Karnataka,Mandya,Ambareesh,INC,,,
2009,Karnataka,Mandya,N Cheluvaraya Swamy,JD(S),Ambareesh,INC,FALSE
2014,Karnataka,Mandya,C.S.Puttaraju,JD(S),N Cheluvaraya Swamy,JD(S),FALSE
2019,Karnataka,Mandya,Sumalatha Ambareesh,IND,C.S.Puttaraju,JD(S),FALSE
2024,Karnataka,Mandya,H. D. Kumaraswamy,JD(S),Sumalatha Ambareesh,IND,FALSE
2004,Karnataka,Mangalore,D. V. Sadananda Gowda,BJP,,,
2004,Karnataka,Mysore,C. H. Vijayashankar,BJP,,,
2009,Karnataka,Mysore,Adagur H. Vishwanath,INC,C. H. Vijayashankar,BJP,FALSE
2014,Karnataka,Mysore,Prathap Simha,BJP,Adagur H. Vishwanath,INC,FALSE
2019,Karnataka,Mysore,Pratap Simha,BJP,Prathap Simha,BJP,FALSE
2024,Karnataka,Mysore,Yaduveer Krishnadatta Chamaraja Wadiyar,BJP,Pratap Simha,BJP,FALSE
2004,Karnataka,Raichur,A. Venkatesh Naik,INC,,,
2009,Karnataka,Raichur,Sanna Pakirappa,BJP,A. Venkatesh Naik,INC,FALSE
2014,Karnataka,Raichur,B.V.Nayak,INC,Sanna Pakirappa,BJP,FALSE
2019,Karnataka,Raichur,Raja Amareswara Naik,BJP,B.V.Nayak,INC,FALSE
2024,Karnataka,Raichur,G. Kumar Naik,INC,Raja Amareswara Naik,BJP,FALSE
2004,Karnataka,Shimoga,Sarekoppa Bangarappa,BJP,,,
2009,Karnataka,Shimoga,B. Y. Raghavendra,BJP,Sarekoppa Bangarappa,BJP,FALSE
2014,Karnataka,Shimoga,B. S. Yeddyurappa,BJP,B. Y. Raghavendra,BJP,FALSE
2019,Karnataka,Shimoga,B. Y. Raghavendra,BJP,B. S. Yeddyurappa,BJP,FALSE
2024,Karnataka,Shimoga,B. Y. Raghavendra,BJP,B. Y. Raghavendra,BJP,TRUE
2004,Karnataka,Tumkur,S. Mallikarjunaiah,BJP,,,
2009,Karnataka,Tumkur,G. S. Basavaraj,BJP,S. Mallikarjunaiah,BJP,FALSE
2014,Karnataka,Tumkur,Muddahanumegowda.S.P.,INC,G. S. Basavaraj,BJP,FALSE
2019,Karnataka,Tumkur,G. S. Basavaraj,BJP,Muddahanumegowda.S.P.,INC,FALSE
2024,Karnataka,Tumkur,V. Somanna,BJP,G. S. Basavaraj,BJP,FALSE
2004,Karnataka,Udupi,Manorama Madhwaraj,BJP,,,
2009,Karnataka,Udupi Chikmagalur,D. V. Sadananda Gowda,BJP,,,
2014,Karnataka,Udupi Chikmagalur,Shobha Karandlaje,BJP,D. V. Sadananda Gowda,BJP,FALSE
2019,Karnataka,Udupi Chikmagalur,Shobha Karandlaje,BJP,Shobha Karandlaje,BJP,TRUE
2024,Karnataka,Udupi Chikmagalur,Kota Srinivas Poojary,BJP,Shobha Karandlaje,BJP,FALSE
2009,Karnataka,Uttara Kannada,Anant Kumar Hegde,BJP,,,
2014,Karnataka,Uttara Kannada,Anantkumar Hegde,BJP,Anant Kumar Hegde,BJP,FALSE
2019,Karnataka,Uttara Kannada,Anantkumar Hegde,BJP,Anantkumar Hegde,BJP,TRUE
2024,Karnataka,Uttara Kannada,Vishweshwar Hegde Kageri,BJP,Anantkumar Hegde,BJP,FALSE
2004,Kerala,Adoor,Chengara Surendran,CPI,,,
2009,Kerala,Alappuzha,K. C. Venugopal,INC,,,
2014,Kerala,Alappuzha,K C Venugopal,INC,K. C. Venugopal,INC,FALSE
2019,Kerala,Alappuzha,A. M. Ariff,CPI(M),K C Venugopal,INC,FALSE
2024,Kerala,Alappuzha,K. C. Venugopal,INC,A. M. Ariff,CPI(M),FALSE
2009,Kerala,Alathur,P. K. Biju,CPI(M),,,
2014,Kerala,Alathur,P.K.Biju,CPI(M),P. K. Biju,CPI(M),FALSE
2019,Kerala,Alathur,Ramya Haridas,INC,P.K.Biju,CPI(M),FALSE
2024,Kerala,Alathur,K. Radhakrishnan,CPI(M),Ramya Haridas,INC,FALSE
2004,Kerala,Alleppey,K. S. Manoj,CPI(M),,,
2009,Kerala,Attingal,A Sampath,CPI(M),,,
2014,Kerala,Attingal,Dr.A .Sampath,CPI(M),A Sampath,CPI(M),FALSE
2019,Kerala,Attingal,Adoor Prakash,INC,Dr.A .Sampath,CPI(M),FALSE
2024,Kerala,Attingal,Adoor Prakash,INC,Adoor Prakash,INC,TRUE
2004,Kerala,Badagara,P. Satheedevi,CPI(M),,,
2004,Kerala,Calicut,M. P. Veerendra Kumar,JD(S),,,
2004,Kerala,Cannanore,A. P. Abdullakutty,CPI(M),,,
2009,Kerala,Chalakudy,K. P. Dhanapalan,INC,,,
2014,Kerala,Chalakudy,Innocent,IND,K. P. Dhanapalan,INC,FALSE
2019,Kerala,Chalakudy,Benny Behanan,INC,Innocent,IND,FALSE
2024,Kerala,Chalakudy,Benny Behanan,INC,Benny Behanan,INC,TRUE
2004,Kerala,Chirayinkil,Varkala Radhakrishnan,CPI(M),,,
2004,Kerala,Ernakulam,Sebastian Paul,IND,,,
2009,Kerala,Ernakulam,K. V. Thomas,INC,Sebastian Paul,IND,FALSE
2014,Kerala,Ernakulam,Prof. K.V. Thomas,INC,K. V. Thomas,INC,FALSE
2019,Kerala,Ernakulam,Hibi Eden,INC,Prof. K.V. Thomas,INC,FALSE
2024,Kerala,Ernakulam,Hibi Eden,INC,Hibi Eden,INC,TRUE
2004,Kerala,Idukki,Francis George,Kerala Congress,,,
2009,Kerala,Idukki,P. T. Thomas,INC,Francis George,Kerala Congress,FALSE
2014,Kerala,Idukki,Adv.Joice George,IND,P. T. Thomas,INC,FALSE
2019,Kerala,Idukki,Dean Kuriakose,INC,Adv.Joice George,IND,FALSE
2024,Kerala,Idukki,Dean Kuriakose,INC,Dean Kuriakose,INC,TRUE
2009,Kerala,Kannur,K. Sudhakaran,INC,,,
2014,Kerala,Kannur,P K Sreemathi Teacher,CPI(M),K. Sudhakaran,INC,FALSE
2019,Kerala,Kannur,K. Sudhakaran,INC,P K Sreemathi Teacher,CPI(M),FALSE
2024,Kerala,Kannur,K. Sudhakaran,INC,K. Sudhakaran,INC,TRUE
2004,Kerala,Kasaragod,P. Karunakaran,CPI(M),,,
2009,Kerala,Kasaragod,P. Karunakaran,CPI(M),P. Karunakaran,CPI(M),TRUE
2014,Kerala,Kasaragod,P Karunakaran,CPI(M),P. Karunakaran,CPI(M),FALSE
2019,Kerala,Kasaragod,Rajmohan Unnithan,INC,P Karunakaran,CPI(M),FALSE
2024,Kerala,Kasaragod,Rajmohan Unnithan,INC,Rajmohan Unnithan,INC,TRUE
2009,Kerala,Kollam,N. Peethambara Kurup,INC,,,
2014,Kerala,Kollam,N.K.Premachandran,RSP,N. Peethambara Kurup,INC,FALSE
2019,Kerala,Kollam,N. K. Premachandran,RSP,N.K.Premachandran,RSP,FALSE
2024,Kerala,Kollam,N. K. Premachandran,RSP,N. K. Premachandran,RSP,TRUE
2004,Kerala,Kottayam,K. Suresh Kurup,CPI(M),,,
2009,Kerala,Kottayam,Jose K. Mani,Kerala Congress (M),K. Suresh Kurup,CPI(M),FALSE
2014,Kerala,Kottayam,Jose K. Mani,Kerala Congress (M),Jose K. Mani,Kerala Congress (M),TRUE
2019,Kerala,Kottayam,Thomas Chazhikadan,Kerala Congress (M),Jose K. Mani,Kerala Congress (M),FALSE
2024,Kerala,Kottayam,K. Francis George,KEC,Thomas Chazhikadan,Kerala Congress (M),FALSE
2009,Kerala,Kozhikode,M. K. Raghavan,INC,,,
2014,Kerala,Kozhikode,M .K Raghavan,INC,M. K. Raghavan,INC,FALSE
2019,Kerala,Kozhikode,M. K. Raghavan,INC,M .K Raghavan,INC,FALSE
2024,Kerala,Kozhikode,M. K. Raghavan,INC,M. K. Raghavan,INC,TRUE
2009,Kerala,Malappuram,E. Ahamed,Muslim League Kerala State Committee,,,
2014,Kerala,Malappuram,E. Ahamed,Indian Union Muslim League,E. Ahamed,Muslim League Kerala State Committee,TRUE
2019,Kerala,Malappuram,P. K. Kunhalikutty,Indian Union Muslim League,E. Ahamed,Indian Union Muslim League,FALSE
2024,Kerala,Malappuram,E. T. Mohammed Basheer,IUML,P. K. Kunhalikutty,Indian Union Muslim League,FALSE
2004,Kerala,Manjeri,T. K. Hamza,CPI(M),,,
2004,Kerala,Mavelikara,C. S. Sujatha,CPI(M),,,
2009,Kerala,Mavelikkara,Kodikunnil Suresh,INC,,,
2014,Kerala,Mavelikkara,Kodikunnil Suresh,INC,Kodikunnil Suresh,INC,TRUE
2019,Kerala,Mavelikkara,Kodikkunnil Suresh,INC,Kodikunnil Suresh,INC,FALSE
2024,Kerala,Mavelikkara,Kodikunnil Suresh,INC,Kodikkunnil Suresh,INC,FALSE
2004,Kerala,Mukundapuram,Lonappan Nambadan,CPI(M),,,
2004,Kerala,Muvattupuzha,P. C. Thomas,Indian Federal Democratic Party,,,
2004,Kerala,Ottapalam,S. Ajaya Kumar,CPI(M),,,
2009,Kerala,Palakkad,M. B. Rajesh,CPI(M),,,
2014,Kerala,Palakkad,M B Rajesh,CPI(M),M. B. Rajesh,CPI(M),FALSE
2019,Kerala,Palakkad,V. K. Sreekandan,INC,M B Rajesh,CPI(M),FALSE
2024,Kerala,Palakkad,V. K. Sreekandan,INC,V. K. Sreekandan,INC,TRUE
2004,Kerala,Palghat,N. N. Krishnadas,CPI(M),,,
2009,Kerala,Pathanamthitta,Anto Antony,INC,,,
2014,Kerala,Pathanamthitta,Anto Antony,INC,Anto Antony,INC,TRUE
2019,Kerala,Pathanamthitta,Anto Antony,INC,Anto Antony,INC,TRUE
2024,Kerala,Pathanamthitta,Anto Antony,INC,Anto Antony,INC,TRUE
2004,Kerala,Ponnani,E. Ahamed,Muslim League Kerala State Committee,,,
2009,Kerala,Ponnani,E. T. Mohammed Basheer,Muslim League Kerala State Committee,E. Ahamed,Muslim League Kerala State Committee,FALSE
2014,Kerala,Ponnani,E. T. Mohammed Basheer,Indian Union Muslim League,E. T. Mohammed Basheer,Muslim League Kerala State Committee,TRUE
2019,Kerala,Ponnani,E. T. Muhammed Basheer,Indian Union Muslim League,E. T. Mohammed Basheer,Indian Union Muslim League,FALSE
2024,Kerala,Ponnani,M. P. Abdussamad Samadani,IUML,E. T. Muhammed Basheer,Indian Union Muslim League,FALSE
2004,Kerala,Quilon,P. Rajendran,CPI(M),,,
2009,Kerala,Thiruvananthapuram,Shashi Tharoor,INC,,,
2014,Kerala,Thiruvananthapuram,Dr. Shashi Tharoor,INC,Shashi Tharoor,INC,FALSE
2019,Kerala,Thiruvananthapuram,Shashi Tharoor,INC,Dr. Shashi Tharoor,INC,FALSE
2024,Kerala,Thiruvananthapuram,Shashi Tharoor,INC,Shashi Tharoor,INC,TRUE
2009,Kerala,Thrissur,P. C. Chacko,INC,,,
2014,Kerala,Thrissur,C. N. Jayadevan,CPI,P. C. Chacko,INC,FALSE
2019,Kerala,Thrissur,T. N. Prathapan,INC,C. N. Jayadevan,CPI,FALSE
2024,Kerala,Thrissur,Suresh Gopi,BJP,T. N. Prathapan,INC,FALSE
2004,Kerala,Trichur,C. K. Chandrappan,CPI,,,
2004,Kerala,Trivandrum,P. K. Vasudevan Nair,CPI,,,
2009,Kerala,Vatakara,Mullappally Ramachandran,INC,,,
2014,Kerala,Vatakara,Mullappally Ramachandran,INC,Mullappally Ramachandran,INC,TRUE
2019,Kerala,Vatakara,K. Muraleedharan,INC,Mullappally Ramachandran,INC,FALSE
2024,Kerala,Vatakara,Shafi Parambil,INC,K. Muraleedharan,INC,FALSE
2009,Kerala,Wayanad,M. I. Shanavas,INC,,,
2014,Kerala,Wayanad,M I Shanavas,INC,M. I. Shanavas,INC,FALSE
2019,Kerala,Wayanad,Rahul Gandhi,INC,M I Shanavas,INC,FALSE
2024,Kerala,Wayanad,Rahul Gandhi,INC,Rahul Gandhi,INC,TRUE
2024,Ladakh,Ladakh,Tsering Namgyal,IND,,,
2004,Lakshadweep,Lakshadweep,P. Pookunhi Koya,JD(U),,,
2009,Lakshadweep,Lakshadweep,Muhammed Hamdulla Sayeed,INC,P. Pookunhi Koya,JD(U),FALSE
2014,Lakshadweep,Lakshadweep,Mohammed Faizal P.P.,NCP,Muhammed Hamdulla Sayeed,INC,FALSE
2019,Lakshadweep,Lakshadweep,Mohammed Faizal P. P.,NCP,Mohammed Faizal P.P.,NCP,FALSE
2024,Lakshadweep,Lakshadweep,Muhammed Hamdulla Sayeed,INC,Mohammed Faizal P. P.,NCP,FALSE
2004,Madhya Pradesh,Balaghat,Gaurishankar Bisen,BJP,,,
2009,Madhya Pradesh,Balaghat,K. D. Deshmukh,BJP,Gaurishankar Bisen,BJP,FALSE
2014,Madhya Pradesh,Balaghat,Bodhsingh Bhagat,BJP,K. D. Deshmukh,BJP,FALSE
2019,Madhya Pradesh,Balaghat,Dhal Singh Bisen,BJP,Bodhsingh Bhagat,BJP,FALSE
2024,Madhya Pradesh,Balaghat,Bharti Pardhi,BJP,Dhal Singh Bisen,BJP,FALSE
2004,Madhya Pradesh,Betul,Vijay Kumar Khandelwal,BJP,,,
2009,Madhya Pradesh,Betul,Jyoti Dhurve,BJP,Vijay Kumar Khandelwal,BJP,FALSE
2014,Madhya Pradesh,Betul,Jyoti Dhurve,BJP,Jyoti Dhurve,BJP,TRUE
2019,Madhya Pradesh,Betul,Durga Das Uikey,BJP,Jyoti Dhurve,BJP,FALSE
2024,Madhya Pradesh,Betul,Durga Das Uikey,BJP,Durga Das Uikey,BJP,TRUE
2004,Madhya Pradesh,Bhind,Ram Lakhan Singh,BJP,,,
2009,Madhya Pradesh,Bhind,Ashok Argal,BJP,Ram Lakhan Singh,BJP,FALSE
2014,Madhya Pradesh,Bhind,Dr. Bhagirath Prasad,BJP,Ashok Argal,BJP,FALSE
2019,Madhya Pradesh,Bhind,Sandhya Ray,BJP,Dr. Bhagirath Prasad,BJP,FALSE
2024,Madhya Pradesh,Bhind,Sandhya Ray,BJP,Sandhya Ray,BJP,TRUE
2004,Madhya Pradesh,Bhopal,Kailash Joshi,BJP,,,
2009,Madhya Pradesh,Bhopal,Kailash Joshi,BJP,Kailash Joshi,BJP,TRUE
2014,Madhya Pradesh,Bhopal,Alok Sanjar,BJP,Kailash Joshi,BJP,FALSE
2019,Madhya Pradesh,Bhopal,Pragya Thakur,BJP,Alok Sanjar,BJP,FALSE
2024,Madhya Pradesh,Bhopal,Alok Sharma,BJP,Pragya Thakur,BJP,FALSE
2004,Madhya Pradesh,Chhindwara,Kamal Nath,INC,,,
2009,Madhya Pradesh,Chhindwara,Kamal Nath,INC,Kamal Nath,INC,TRUE
2014,Madhya Pradesh,Chhindwara,Kamal Nath,INC,Kamal Nath,INC,TRUE
2019,Madhya Pradesh,Chhindwara,Nakul Nath,INC,Kamal Nath,INC,FALSE
2024,Madhya Pradesh,Chhindwara,Bunty Vivek Sahu,BJP,Nakul Nath,INC,FALSE
2004,Madhya Pradesh,Damoh,Chandrabhan Bhaiya,BJP,,,
2009,Madhya Pradesh,Damoh,Shivraj Singh Lodhi,BJP,Chandrabhan Bhaiya,BJP,FALSE
2014,Madhya Pradesh,Damoh,Prahalad Singh Patel,BJP,Shivraj Singh Lodhi,BJP,FALSE
2019,Madhya Pradesh,Damoh,Prahlad Singh Patel,BJP,Prahalad Singh Patel,BJP,FALSE
2024,Madhya Pradesh,Damoh,Rahul Singh Lodhi,BJP,Prahlad Singh Patel,BJP,FALSE
2009,Madhya Pradesh,Dewas,Sajjan Singh Verma,INC,,,
2014,Madhya Pradesh,Dewas,Manohar Untwal,BJP,Sajjan Singh Verma,INC,FALSE
2019,Madhya Pradesh,Dewas,Mahendra Singh Solanki,BJP,Manohar Untwal,BJP,FALSE
2024,Madhya Pradesh,Dewas,Mahendra Singh Solanky,BJP,Mahendra Singh Solanki,BJP,FALSE
2004,Madhya Pradesh,Dhar,Chhatar Singh Darbar,BJP,,,
2009,Madhya Pradesh,Dhar,Gajendra Singh Rajukhedi,INC,Chhatar Singh Darbar,BJP,FALSE
2014,Madhya Pradesh,Dhar,Savitri Thakur,BJP,Gajendra Singh Rajukhedi,INC,FALSE
2019,Madhya Pradesh,Dhar,Chattar Singh Darbar,BJP,Savitri Thakur,BJP,FALSE
2024,Madhya Pradesh,Dhar,Savitri Thakur,BJP,Chattar Singh Darbar,BJP,FALSE
2004,Madhya Pradesh,Guna,Jyotiraditya Scindia,INC,,,
2009,Madhya Pradesh,Guna,Jyotiraditya Scindia,INC,Jyotiraditya Scindia,INC,TRUE
2014,Madhya Pradesh,Guna,Jyotiraditya M Scindia,INC,Jyotiraditya Scindia,INC,FALSE
2019,Madhya Pradesh,Guna,Krishna Pal Singh Yadav,BJP,Jyotiraditya M Scindia,INC,FALSE
2024,Madhya Pradesh,Guna,Jyotiraditya Scindia,BJP,Krishna Pal Singh Yadav,BJP,FALSE
2004,Madhya Pradesh,Gwalior,Ramsevak Singh,INC,,,
2009,Madhya Pradesh,Gwalior,Yashodhara Raje Scindia,BJP,Ramsevak Singh,INC,FALSE
2014,Madhya Pradesh,Gwalior,Narendra Singh Tomar,BJP,Yashodhara Raje Scindia,BJP,FALSE
2019,Madhya Pradesh,Gwalior,Vivek Sejwalker,BJP,Narendra Singh Tomar,BJP,FALSE
2024,Madhya Pradesh,Gwalior,Bharat Singh Kushwah,BJP,Vivek Sejwalker,BJP,FALSE
2004,Madhya Pradesh,Hoshangabad,Sartaj Singh,BJP,,,
2014,Madhya Pradesh,Hoshangabad,Uday Pratap Singh,BJP,Sartaj Singh,BJP,FALSE
2019,Madhya Pradesh,Hoshangabad,Uday Pratap Singh,BJP,Uday Pratap Singh,BJP,TRUE
2024,Madhya Pradesh,Hoshangabad,Darshan Singh Choudhary,BJP,Uday Pratap Singh,BJP,FALSE
2004,Madhya Pradesh,Indore,Sumitra Mahajan,BJP,,,
2009,Madhya Pradesh,Indore,Sumitra Mahajan,BJP,Sumitra Mahajan,BJP,TRUE
2014,Madhya Pradesh,Indore,Sumitra Mahajan,BJP,Sumitra Mahajan,BJP,TRUE
2019,Madhya Pradesh,Indore,Shankar Lalwani,BJP,Sumitra Mahajan,BJP,FALSE
2024,Madhya Pradesh,Indore,Shankar Lalwani,BJP,Shankar Lalwani,BJP,TRUE
2004,Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,,,
2009,Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,Rakesh Singh,BJP,TRUE
2014,Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,Rakesh Singh,BJP,TRUE
2019,Madhya Pradesh,Jabalpur,Rakesh Singh,BJP,Rakesh Singh,BJP,TRUE
2024,Madhya Pradesh,Jabalpur,Ashish Dubey,BJP,Rakesh Singh,BJP,FALSE
2004,Madhya Pradesh,Jhabua,Kantilal Bhuria,INC,,,
2004,Madhya Pradesh,Khajuraho,Ramkrishna Kusmaria,BJP,,,
2009,Madhya Pradesh,Khajuraho,Jeetendra Singh Bundela,BJP,Ramkrishna Kusmaria,BJP,FALSE
2014,Madhya Pradesh,Khajuraho,Nagendra Singh,BJP,Jeetendra Singh Bundela,BJP,FALSE
2019,Madhya Pradesh,Khajuraho,Vishnu Datt Sharma,BJP,Nagendra Singh,BJP,FALSE
2024,Madhya Pradesh,Khajuraho,V. D. Sharma,BJP,Vishnu Datt Sharma,BJP,FALSE
2004,Madhya Pradesh,Khandwa,Nandkumar Singh Chauhan,BJP,,,
2009,Madhya Pradesh,Khandwa,Arun Subhash Chandra Yadav,INC,Nandkumar Singh Chauhan,BJP,FALSE
2014,Madhya Pradesh,Khandwa,Nandkumar Singh Chouhan (Nandu Bhaiya,BJP,Arun Subhash Chandra Yadav,INC,FALSE
2019,Madhya Pradesh,Khandwa,Nandkumar Singh Chauhan,BJP,Nandkumar Singh Chouhan (Nandu Bhaiya,BJP,FALSE
2024,Madhya Pradesh,Khandwa,Gyaneswar Patil,BJP,Nandkumar Singh Chauhan,BJP,FALSE
2004,Madhya Pradesh,Khargone,Krishna Murari Moghe,BJP,,,
2009,Madhya Pradesh,Khargone,Makhansingh Solanki,BJP,Krishna Murari Moghe,BJP,FALSE
2014,Madhya Pradesh,Khargone,Subhash Patel,BJP,Makhansingh Solanki,BJP,FALSE
2019,Madhya Pradesh,Khargone,Gajendra Patel,BJP,Subhash Patel,BJP,FALSE
2024,Madhya Pradesh,Khargone,Gajendra Singh Patel,BJP,Gajendra Patel,BJP,FALSE
2004,Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,,,
2009,Madhya Pradesh,Mandla,Basori Singh Masram,INC,Faggan Singh Kulaste,BJP,FALSE
2014,Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,Basori Singh Masram,INC,FALSE
2019,Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,Faggan Singh Kulaste,BJP,TRUE
2024,Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,Faggan Singh Kulaste,BJP,TRUE
2004,Madhya Pradesh,Mandsaur,Laxminarayan Pandey,BJP,,,
2009,Madhya Pradesh,Mandsaur,Meenakshi Natarajan,INC,Laxminarayan Pandey,BJP,FALSE
2014,Madhya Pradesh,Mandsaur,Sudhir Gupta,BJP,Meenakshi Natarajan,INC,FALSE
2019,Madhya Pradesh,Mandsaur,Sudheer Gupta,BJP,Sudhir Gupta,BJP,FALSE
2024,Madhya Pradesh,Mandsaur,Sudheer Gupta,BJP,Sudheer Gupta,BJP,TRUE
2004,Madhya Pradesh,Morena,Ashok Argal,BJP,,,
2009,Madhya Pradesh,Morena,Narendra Singh Tomar,BJP,Ashok Argal,BJP,FALSE
2014,Madhya Pradesh,Morena,Anoop Mishra,BJP,Narendra Singh Tomar,BJP,FALSE
2019,Madhya Pradesh,Morena,Narendra Singh Tomar,BJP,Anoop Mishra,BJP,FALSE
2024,Madhya Pradesh,Morena,Shivmangal Singh Tomar,BJP,Narendra Singh Tomar,BJP,FALSE
2009,Madhya Pradesh,Narmadapuram,Uday Pratap Singh,INC,,,
2004,Madhya Pradesh,Rajgarh,Lakshman Singh,BJP,,,
2009,Madhya Pradesh,Rajgarh,Narayan Singh Amlabe,INC,Lakshman Singh,BJP,FALSE
2014,Madhya Pradesh,Rajgarh,Rodmal Nagar,BJP,Narayan Singh Amlabe,INC,FALSE
2019,Madhya Pradesh,Rajgarh,Rodmal Nagar,BJP,Rodmal Nagar,BJP,TRUE
2024,Madhya Pradesh,Rajgarh,Rodmal Nagar,BJP,Rodmal Nagar,BJP,TRUE
2009,Madhya Pradesh,Ratlam,Kantilal Bhuria,INC,,,
2014,Madhya Pradesh,Ratlam,Dileepsingh Bhuria,BJP,Kantilal Bhuria,INC,FALSE
2019,Madhya Pradesh,Ratlam,Guman Singh Damor,BJP,Dileepsingh Bhuria,BJP,FALSE
2024,Madhya Pradesh,Ratlam,Anita Nagarsingh Chouhan,BJP,Guman Singh Damor,BJP,FALSE
2004,Madhya Pradesh,Rewa,Chandramani Tripathi,BJP,,,
2009,Madhya Pradesh,Rewa,Deoraj Singh Patel,BSP,Chandramani Tripathi,BJP,FALSE
2014,Madhya Pradesh,Rewa,Janardan Mishra,BJP,Deoraj Singh Patel,BSP,FALSE
2019,Madhya Pradesh,Rewa,Janardan Mishra,BJP,Janardan Mishra,BJP,TRUE
2024,Madhya Pradesh,Rewa,Janardan Mishra,BJP,Janardan Mishra,BJP,TRUE
2004,Madhya Pradesh,Sagar,Virendra Kumar,BJP,,,
2009,Madhya Pradesh,Sagar,Bhupendra Singh,BJP,Virendra Kumar,BJP,FALSE
2014,Madhya Pradesh,Sagar,Laxmi Narayan Yadav,BJP,Bhupendra Singh,BJP,FALSE
2019,Madhya Pradesh,Sagar,Raj Bahadur Singh,BJP,Laxmi Narayan Yadav,BJP,FALSE
2024,Madhya Pradesh,Sagar,Lata Wankhede,BJP,Raj Bahadur Singh,BJP,FALSE
2004,Madhya Pradesh,Satna,Ganesh Singh,BJP,,,
2009,Madhya Pradesh,Satna,Ganesh Singh,BJP,Ganesh Singh,BJP,TRUE
2014,Madhya Pradesh,Satna,Ganesh Singh,BJP,Ganesh Singh,BJP,TRUE
2019,Madhya Pradesh,Satna,Ganesh Singh,BJP,Ganesh Singh,BJP,TRUE
2024,Madhya Pradesh,Satna,Ganesh Singh,BJP,Ganesh Singh,BJP,TRUE
2004,Madhya Pradesh,Seoni,Neeta Pateriya,BJP,,,
2004,Madhya Pradesh,Shahdol,Dalpat Singh Paraste,BJP,,,
2009,Madhya Pradesh,Shahdol,Rajesh Nandini Singh,INC,Dalpat Singh Paraste,BJP,FALSE
2014,Madhya Pradesh,Shahdol,Dalpat Singh Paraste,BJP,Rajesh Nandini Singh,INC,FALSE
2019,Madhya Pradesh,Shahdol,Himadri Singh,BJP,Dalpat Singh Paraste,BJP,FALSE
2024,Madhya Pradesh,Shahdol,Himadri Singh,BJP,Himadri Singh,BJP,TRUE
2004,Madhya Pradesh,Shajapur,Thawar Chand Gehlot,BJP,,,
2004,Madhya Pradesh,Sidhi,Chandrapratap Singh,BJP,,,
2009,Madhya Pradesh,Sidhi,Govind Prasad Mishra,BJP,Chandrapratap Singh,BJP,FALSE
